ID,English,Hebrew,Arabic
1,"(be) in a hurry","למהר","يستعجل, في عجلة"
2,"(be) in trouble","בצרה","في مشكلة, في ورطة"
3,"(be) worth a fortune","שווה הון","يساوي ثروة"
4,"(be) worth it","שווה את זה","يستحق"
5,"(don't) get along","לא להסתדר (עם מישהו)","لا ينسجم (مع شخص آخر)"
6,"(go) skiing","לעשות סקי","التزلج على الجليد"
7,"(not) pay attention","לא לשים לב","لا ينتبه"
8,"(your) big brother","האח הגדול שלך","أخوك الأكبر"
9,"a few","כמה, מעט","عدد قليل"
10,"a gold medal","מדליית זהב","ميدالية ذهبية"
11,"a great deal","הרבה מאוד (ה-)","كمية كبيرة من"
12,"a little","מעט, חיים","قليلاً"
13,"a little bit","קצת","بعض الشيء"
14,"a long time ago","לפני זמן רב","منذ زمن بعيد"
15,"a lot","הרבה","كثيراً"
16,"a number of","מספר של","عدد من"
17,"a perfect place","מקום מושלם","مكان مثالي"
18,"a pity","חבל","يا للأسف"
19,"a quarter to","רבע ל- (שעה)","إلا ربعاً (ساعة)"
20,"a shame","חבל","من المؤسف"
21,"A Star is Born","כוכב נולד","نجم يولد"
22,"a variety of","מגוון של","مجموعة متنوعة من"
23,"a/an","סימן לשם עצם לא מיודע","علامة لاسم نكرة بالغير"
24,"ability (n)","יכולת","مقدرة"
25,"able","יכול, מוכשר","قادر على"
26,"able to","יכול, מסוגל","يستطيع، يقدر على"
27,"Aboriginal","אבוריג'ני","من السكان الأستراليين الأصليين"
28,"about","אודות, על","حول"
29,"above","מעל, מלמעלה","فوق"
31,"Abu Ghosh","אבו גוש","أبو غوش"
32,"accent","מבטא","لهجة"
33,"accept","לקבל","يقبل"
34,"acceptable","מקובל","مقبول, حسن"
35,"access (v)","לגשת","يصل, يدخل"
36,"accident (n)","תאונה","حادثة"
37,"accidental","מקרי","عرضي"
38,"accidentally","במקרה","صدفة"
39,"Acco","עכו","عكا"
40,"accommodation","לינה, מגורים","مكان إقامة"
41,"accompany","ללוות","يرافق"
42,"according to","על פי","وفقاً ل"
43,"accurate","מדויק","دقيق"
44,"ache (n)","כאב","ألم, وجع"
45,"achieve","להשיג, להצליח","يحصل, ينجز"
46,"achievement","הישג","إنجاز"
47,"acknowledge","להכיר ב-","يعترف, يقر"
48,"acrobatics","אקרובטיקה, לוליינות","بهلوانية"
49,"across","מעבר ל","الأخرى, في أرجاء"
50,"act (n)","מערכה","فعل, عمل"
51,"act (v)","לשחק, לפעול","يمثل, يتصرف"
52,"Act your age!","התנהג בהתאם לגילך!","تصرّف على قدر عمرك!"
53,"action (n)","פעולה","فعل"
54,"action movie","סרט פעולה","فيلم الحركة (أكشن)"
55,"active","פעיל","نشيط, فعّال"
56,"activity (n)","פעילות, נשיקה","نشاط"
57,"actor (n)","שחקן","ممثل"
58,"actor / actress","שחקן, שחקנית","ممثّل، ممثّلة"
59,"actress","שחקנית","ممثلة"
60,"actually","למעשה, באמת","فعلاً, في الواقع"
61,"ad (n)","מודעה","إعلان"
62,"adapt","להתאים","يتكيف"
63,"adapted","מותאם, עיבוד","مقتبس"
64,"add (v)","להוסיף","يضيف"
65,"add up","לחבר","يجمع (حسابياً)"
66,"address (n)","כתובת","عنوان"
67,"Adelaide","אדלייד","أديلايد"
68,"adequate","מספק","كافٍ, ملائم"
69,"adjective","שם תואר","صفة"
70,"adjust","להתאים","يعدّل"
71,"admire","להעריץ","يعجب"
72,"admit","להודות ב-","يعترف ب"
73,"adopt","לאמץ","يتبنى"
74,"ads","פרסומות","إعلانات"
75,"adult (n)","מבוגר","بالغ"
76,"advantage","יתרון","فائدة, ميزة"
77,"adventure (n)","הרפתקה","مغامرة"
78,"adventures","הרפתקאות","مغامرات"
79,"adventurous","הרפתקני","مغامر"
80,"adverb","תואר הפועל","ظرف, حال"
81,"advertise","לפרסם","يعلن"
82,"advertising","פרסום ופרסומת","إعلان والإعلان"
83,"advice","עצה","نصيحة"
84,"aerobics","אירובי","رياضة إيروبي"
85,"affect","להשפיע","يؤثر"
86,"afford","להרשות לעצמך","يتحمل, خاتم أخنتي"
87,"afraid (adj)","מפוחד","خائف"
88,"Africa","אפריקה","إفريقيا"
89,"after","אחרי","بعد"
90,"after that","אחרי זה, לאחר מכן","بعد ذلك"
91,"after-school activities","פעילויות אחר הצהריים","نشاطات, أنشطة"
92,"afternoon (n)","אחר הצהריים","بعد الظهر"
93,"afterwards","לאחר מכן","بعد ذلك"
94,"Afula","עפולה","العفولة"
95,"again","שוב","مرة أخرى"
96,"again and again","שוב ושוב","مراراً وتكراراً"
97,"against","נגד","ضد"
98,"age (n)","גיל","عمر, سن"
99,"Age before beauty!","מבוגרים קודם!","تفضّل! (كبار السن أولاً)"
100,"age limit","מגבלת גיל","حدود العمر"
101,"ago","לפני","منذ"
102,"agree","להסכים","يوافق"
103,"agree (v)","להסכים","يوافق"
104,"agreeable","מוסכם, מתאים","مقبول, مناسب"
105,"agreement","הסכם, הסכמה","إتفاق, إتفاقية"
106,"ahead (of)","לפני, קדימה (ל-)","أمام"
107,"aid","עזרה, סיוע","مساعدة"
108,"aim (n)","מטרה","هدف"
109,"aim (v)","לכוון","يصوب"
110,"aim high","לכוון גבוה","يصوب عالياً"
111,"air (n)","אוויר","هواء, جو"
112,"airline (n)","חברת תעופה","شركة طيران"
113,"airplane (n)","מטוס","طائرة"
114,"airport (n)","שדה תעופה","مطار"
115,"Alaska","אלסקה","ألاسكا"
116,"album","אלבום","ألبوم"
117,"alcohol","אלכוהול","كحول"
118,"alike","דומה","شبيه, مماثل"
119,"alive","חי","حي"
120,"alive (adj)","חי","على قيد الحياة"
121,"all","כולם","كل"
122,"all alone","לבד לגמרי","وحيد تماماً"
123,"all day","כל היום","طوال اليوم"
124,"all night","כל הלילה","طوال الليل"
125,"all of a sudden","לפתע","فجأة"
126,"all over","בכל מקום","في كل مكان"
127,"all over the world","בכל רחבי העולם","في جميع أنحاء العالم"
128,"all the time","כל הזמן","طوال الوقت"
